EBITDA_TO_Interest_Expense,Retained_Earnings_TO_Debt,EBIT_TO_Interest Expense,Debt_TO_EBITDA,Debt_TO_Capital,Asset_TO_Size,log10_Asset Size,EBITDA_Margin,Default_Flag
-0.052631579,,-0.052631579,,,426,2.629409599,-0.003787879,0
-0.380952381,,-0.380952381,,,359,2.555094449,-0.044444444,0
2.409295352,,1.476761619,,,24975000,7.397505497,0.224065811,0
2.677227723,,2.067326733,,,40197000,7.604193642,0.26005001,0
1.472993827,,0.966049383,,,27022000,7.43171749,0.114640884,0
2.094610778,,1.293413174,,,23993000,7.380084554,0.140346654,0
2.931547619,,1.830357143,,,29443000,7.468982059,0.156547997,0
1.856508876,-0.129024208,1.856508876,6.385657371,1.319611395,25402000,7.404867912,0.106238889,0
4.275912409,-0.037088608,3.132846715,2.697166268,1.239215686,25061000,7.398998396,0.277419966,0
6.026033691,0.110927783,4.401225115,2.002287166,0.933530806,26006000,7.415073558,0.318571891,0
4.488653555,0.109110681,2.426626324,2.789349511,0.979756126,25280000,7.40277707,0.359418534,0
4.225153956,0.14931041,2.486318288,3.668569739,5.202832283,121706.159,5.085312556,0.400137942,0
8.020172911,0.250911079,3.23054755,1.971972691,0.692754355,14621000,7.164977077,0.372656668,0
16.36190476,1.907486395,11.67936508,0.659584789,0.524250135,22102000,7.344431575,0.579166198,0
21.96855346,2.023238712,8.243186583,0.648821452,0.494257051,24322000,7.385999284,0.478886756,0
17.27720207,1.258274112,-2.878238342,1.476983056,0.79473939,25496000,7.40647205,0.509706512,0
13.00491711,,6.482017421,0,0,530583,5.724753331,0.647055123,0
32.17059603,-0.527884058,20.6386755,0.568163104,0.164596881,712902,5.853029833,0.658461472,0
25.71012545,0.180145278,13.87873357,0.599750225,0.19986063,885501,5.947189056,0.675886302,0
27.24178014,1.177774011,14.51721466,0.335621254,0.137075974,956636,5.98074672,0.692271986,0
,,,0,0,5707000,6.756407873,0.743576698,0
,,,0,0,7578000,6.879554601,0.820656871,0
-11.63333333,-0.7,-11.96666667,-1.833810888,-1.428571429,317000,5.501059262,,0
-6.545454545,-1.434156379,-6.545454545,-2.25,-0.781350482,140000,5.146128036,,0
-7.592592593,-1.502636204,,-2.775609756,-0.798036466,132000,5.120573931,-205,0
-6.857142857,-1.610218978,-7.238095238,-4.756944444,-0.860552764,165000,5.217483944,-144,0
-2.307692308,-1.710791367,-2.307692308,-11.58333333,-0.837349398,141000,5.149219113,-60,0
15.78571429,0,15.78571429,0.769230769,0.022339028,7785000,6.891258617,0.06829419,0
2.384615385,0,2.384615385,5.483870968,0.020242915,8577000,6.93333541,0.009284217,0
333.3333333,0,333.3333333,0.057,0.020369267,8571000,6.933031495,0.745156483,0
138.8333333,0,138.8333333,0.075630252,0.008903335,7143000,6.85388065,0.50823673,0
,,,0,0,2439000,6.3872118,-5.785714286,0
,,,0,0,11463000,7.059298292,20.05723906,0
,,,0,0,9951000,6.997866726,-14.50759494,0
5.263157895,-0.25443787,0.789473684,3.38,-3.930232558,252000,5.401400541,0.052246604,0
3.9,-0.205574913,2.35,3.679487179,-4.86440678,229000,5.359835482,0.043141593,0
-1.839723209,0.060866794,-2.74135029,-10.84598963,16.42931937,146447000,8.165680479,-0.529183926,0
9.716,0.412243853,5.994352941,1.324009719,2.425748724,247552000,8.393666439,1.139725095,0
2.607060718,0.366046855,-1.066697332,5.256759737,2.731890702,235459000,8.371915295,0.236116897,0
6.277284006,-0.346225362,2.37252425,2.574315777,1.306911474,830091,5.919125705,0.601128498,0
8.85867464,0.022397216,,1.792743461,0.884097669,2018985,6.305133092,0.651501796,0
9.527728086,0.152856361,,1.911819285,0.834910493,3187674,6.5034739,0.799169623,0
7.342732547,0.323119467,4.418410795,2.015861893,0.665881569,4016508,6.603848636,0.660018709,0
9.925803024,0.386480911,6.439647913,1.808611232,0.728555602,5562543,6.745273381,0.748389013,0
4.657229034,0.35514538,0.499586766,3.124437208,0.718002564,5395881,6.732062363,0.602425108,0
18.01948052,,3.155844156,,,26379000,7.421258328,0.128317766,0
22.87381703,,8.662460568,,,32919000,7.517446634,0.244380034,0
20.87341772,,10.30801688,,,30690000,7.486996888,0.183609843,0
13.60557185,3.455639632,13.60557185,1.061051837,0.309480401,152691000,8.183813439,0.078769769,0
22.88405797,,9.971014493,,,47933000,7.680634611,0.190387769,0
14.63670412,0.58364337,14.63670412,1.925793245,1.147343548,56559000,7.752501722,0.148859178,0
